BroodYear,NOS,HOS,pHOS
1989,713,0,0.00
1990,571,0,0.00
1991,242,0,0.00
1992,676,0,0.00
1993,231,2,0.01
1994,123,61,0.33
1995,0,33,1.00
1996,41,17,0.29
1997,60,122,0.67
1998,59,32,0.35
1999,87,7,0.07
2000,233,113,0.33
2001,506,1219,0.71
2002,254,453,0.64
2003,168,102,0.38
2004,575,276,0.32
2005,139,460,0.77
2006,114,415,0.78
2007,155,1141,0.88
2008,190,968,0.84
2009,297,1050,0.78
2010,419,675,0.62
2011,801,1231,0.61
2012,574,904,0.61
2013,422,956,0.69
2014,538,461,0.46
2015,337,630,0.65
2016,407,164,0.29
2017,171,288,0.63
