Brood Year,2,3,4,5,6,n
1994,0,0,0.33,0.67,0,9
1995,0,0,0,0,0,0
1996,0,0.36,0.64,0,0,14
1997,0,0,0.75,0.25,0,8
1998,0,0,0,1,0,15
1999,0,0.07,0.5,0.43,0,14
2000,0,0.2,0.95,0.04,0,56
2001,0,0.01,0.95,0.04,0,176
2002,0,0,0.56,0.44,0,54
2003,0,0.08,0,0.92,0,36
2004,0,0.05,0.94,0.01,0,99
2005,0,0.02,0.78,0.21,0,67
2006,0.02,0.02,0.51,0.44,0,45
2007,0,0.1,0.24,0.67,0,29
2008,0.02,0.02,0.81,0.14,0,43
2009,0,0.09,0.86,0.05,0,44
2010,0,0,0.9,0.1,0,63
2011,0,0.08,0.38,0.54,0,65
2012,0,0.01,0.8,0.19,0,141
2013,0,0.09,0.6,0.31,0,105
2014,0,0.04,0.89,0.07,0,169
2015,0,0.01,0.83,0.16,0,96
2016,0,0.04,0.67,0.29,0,138
2017,0,0.02,0.65,0.33,0,45
,,,,,,
,0.001666667,0.054583333,0.605833333,0.304166667,0,63.79166667
