EndDate,Status,Position,Mean discharge (CFS),Water temp
3/7/1997,S,,144,
3/8/1997,R,,139,0
3/9/1997,R,,142,1
3/10/1997,R,,143,1
3/11/1997,R,,141,1
3/12/1997,R,,138,1
3/13/1997,R,,131,1
3/14/1997,R,,128,3
3/15/1997,R,,132,0
3/16/1997,R,,138,1.5
3/17/1997,R,,140,1
3/18/1997,R,,150,2
3/19/1997,R,,503,2
3/20/1997,R,,858,0
3/21/1997,R,,755,1
3/22/1997,R,,640,1
3/23/1997,R,,572,0
3/24/1997,R,,512,2
3/25/1997,R,,474,
3/26/1997,R,,522,3.5
3/27/1997,R,,542,
3/28/1997,R,,509,3
3/29/1997,R,,456,2.5
3/30/1997,R,,456,3
3/31/1997,R,,446,3
4/1/1997,R,,412,5
4/2/1997,R,,389,6
4/3/1997,R,,378,
4/4/1997,R,,365,2
4/5/1997,R,,357,2
4/6/1997,R,,357,7
4/7/1997,R,,364,6.5
4/8/1997,R,,385,3
4/9/1997,R,,409,3
4/10/1997,R,,427,
4/11/1997,R,,423,6.5
4/12/1997,R,,426,5.5
4/13/1997,R,,436,4.5
4/14/1997,R,,435,4.5
4/15/1997,R,,437,7
4/16/1997,R,,481,5
4/17/1997,R,,555,
4/18/1997,R,,574,4.5
4/19/1997,R,,603,4.5
4/20/1997,R,,1040,4
4/21/1997,R,,1130,3
4/22/1997,R,,1050,4.5
4/23/1997,R,,1090,4.5
4/24/1997,R,,1060,
4/25/1997,R,,1090,
4/26/1997,S,,1150,7
4/27/1997,S,,1340,4.5
4/28/1997,R,,1370,4.5
4/29/1997,R,,1320,4.5
4/30/1997,R,,1240,6
5/1/1997,R,,1140,
5/2/1997,R,,1080,4
5/3/1997,R,,1050,5
5/4/1997,R,,1050,5
5/5/1997,R,,1060,5.5
5/6/1997,R,,1170,5
5/7/1997,R,,1300,4.5
5/8/1997,R,,1340,
5/9/1997,R,,1480,5
5/10/1997,P,,1780,4.5
5/11/1997,P,,2080,4.5
5/12/1997,P,,2600,6
5/13/1997,P,,3210,4.5
5/14/1997,P,,3840,
5/15/1997,P,,4200,
5/16/1997,P,,4320,6.5
5/17/1997,P,,4240,7
5/18/1997,P,,3940,5
5/19/1997,P,,3480,7
5/20/1997,P,,3160,7
5/21/1997,P,,2740,6.5
5/22/1997,S,,2410,
5/23/1997,R,,2320,6.5
5/24/1997,P,,2200,6
5/25/1997,P,,2150,6
5/26/1997,S,,2160,6.5
5/27/1997,R,,2190,6.5
5/28/1997,R,,2300,7
5/29/1997,S,,2570,
5/30/1997,P,,2960,
5/31/1997,P,,3420,6
6/1/1997,P,,3930,6
6/2/1997,P,,3430,5.5
6/3/1997,P,,3030,5.5
6/4/1997,P,,3070,5.5
6/5/1997,P,,3070,
6/6/1997,P,,2900,6.5
6/7/1997,P,,2740,6.5
6/8/1997,R,,2680,7
6/9/1997,R,,2590,
6/10/1997,R,,2680,7
6/11/1997,P,,2970,7.5
6/12/1997,P,,3200,
6/13/1997,P,,3020,7
6/14/1997,P,,3140,7
6/15/1997,P,,3240,7
6/16/1997,P,,3440,7
6/17/1997,P,,3260,7
6/18/1997,P,,3560,7
6/19/1997,P,,2960,7
6/20/1997,P,,2400,
6/21/1997,P,,2130,6.5
6/22/1997,P,,1880,6.5
6/23/1997,R,,1710,6
6/24/1997,R,,1580,
6/25/1997,R,,1630,
6/26/1997,R,,1670,
6/27/1997,R,,1640,7
6/28/1997,R,,1610,7
6/29/1997,R,,1690,7
6/30/1997,R,,1770,
7/1/1997,R,,1660,7
7/2/1997,R,,1670,
7/3/1997,R,,1680,
7/4/1997,R,,1790,8.5
7/5/1997,R,,2060,9.5
7/6/1997,P,,2170,8
7/7/1997,R,,1950,9
7/8/1997,R,,1830,8
7/9/1997,R,,2390,8.5
7/10/1997,R,,2070,
7/11/1997,R,,1600,8.5
7/12/1997,R,,1370,8.5
7/13/1997,R,,1380,8.5
7/14/1997,R,,1420,9
7/15/1997,R,,1500,9
7/16/1997,R,,1500,9
7/17/1997,R,,1350,
7/18/1997,R,,1340,10
7/19/1997,R,,1290,9.5
7/20/1997,R,,1360,10.5
7/21/1997,R,,1430,10.5
7/22/1997,R,,1390,9.5
7/23/1997,R,,1180,9
7/24/1997,R,,1050,
7/25/1997,R,,967,9.5
7/26/1997,R,,906,9.5
7/27/1997,R,,840,9.5
7/28/1997,R,,843,10
