,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
22-Feb,,,,,,0,,,,,,,,,,,,,,,,
23-Feb,,,,,,2,,,,,,,,,,,,,,,,
24-Feb,,,,,,0,,,,,,,,,,,,,,,,
25-Feb,,,,25,,0,2,,,,,,,,,,,,,,,
26-Feb,,,,24,,1,2,,,,,,,,,,,,,,,
27-Feb,,,,25,,2,4,,,,,,,,,,,,,,,
28-Feb,,,,9,,0,0,,,,,0,,,,,,,,,,
29-Feb,,,,0,,,0,,,,,,,,,,,,,,,
1-Mar,,,,18,,3,0,,,,,0,,0,0,,,,0,0,0,
2-Mar,,,,9,,24,1,,,,,0,0,0,0,,,,0,0,0,
3-Mar,,,28,6,,33,0,,,,,,0,11,0,,,,0,0,0,
4-Mar,,,17,12,,25,0,,,,,0,0,4,1,0,,,0,0,0,
5-Mar,,,18,7,,2,0,,5,34,,0,0,8,0,3,,,0,0,0,
6-Mar,0,,10,7,,10,5,,2,6,0,1,4,4,0,0,,,0,0,0,
7-Mar,0,,20,12,,25,0,,6,10,0,9,0,0,0,0,6,0,0,0,0,0
8-Mar,0,,14,16,,11,2,16,13,1,1,1,0,10,0,0,5,0,0,0,0,0
9-Mar,0,,25,23,,44,1,50,6,6,4,3,0,11,0,0,5,0,0,0,0,0
10-Mar,0,,16,27,,26,1,42,2,3,3,7,0,8,0,0,4,0,2,0,0,0
11-Mar,0,,17,39,,32,11,35,4,,0,5,0,20,19,0,0,0,2,0,0,0
12-Mar,0,,1,56,,20,0,13,1,,0,67,0,18,15,4,11,1,1,0,0,0
13-Mar,0,,1,103,,18,2,41,1,0,1,0,0,15,41,0,0,2,0,0,0,0
14-Mar,0,,11,118,,83,5,31,7,5,0,5,0,67,49,0,21,0,0,0,0,0
15-Mar,0,,18,5,,95,3,50,5,21,0,0,0,43,86,0,27,0,0,0,0,0
16-Mar,0,,6,3,,88,1,52,10,6,0,0,0,63,47,0,12,0,2,0,0,0
17-Mar,1,,14,2,,83,5,67,46,6,0,3,1,33,86,10,28,2,0,0,0,0
18-Mar,0,,22,96,0,53,9,38,23,15,0,1,5,7,69,10,20,0,0,0,0,0
19-Mar,0,,10,189,2,28,9,87,11,52,0,0,0,10,91,0,3,0,0,0,0,0
20-Mar,0,,14,41,0,26,0,49,11,52,0,12,3,15,38,0,0,0,0,0,0,0
21-Mar,0,,17,68,0,24,0,55,29,63,0,8,0,11,43,0,0,0,0,0,0,0
22-Mar,0,,62,260,1,5,2,65,16,66,0,14,3,5,17,250,3,6,0,0,0,0
23-Mar,1,1,29,175,3,12,9,65,3,41,0,74,2,5,28,150,14,2,0,0,0,0
24-Mar,0,1,42,133,8,20,6,45,27,79,0,5,0,5,35,83,22,0,0,0,0,0
25-Mar,0,3,114,337,16,24,4,28,45,74,1,7,5,5,45,0,19,0,0,0,0,0
26-Mar,1,1,77,303,4,159,16,12,37,64,1,4,5,5,58,73,20,3,0,0,0,0
27-Mar,0,3,41,253,6,62,11,38,0,27,1,18,5,10,31,43,2,0,0,0,0,0
28-Mar,1,1,56,393,18,136,21,40,24,29,3,20,9,26,29,75,21,0,0,0,0,0
29-Mar,0,5,23,268,5,109,60,42,43,17,2,7,5,103,6,43,39,2,0,0,0,0
30-Mar,0,5,20,283,14,115,67,62,0,38,4,28,5,75,34,38,69,0,0,0,0,0
31-Mar,0,5,22,253,5,86,33,91,198,43,1,42,12,127,0,247,110,0,0,0,0,0
1-Apr,0,2,35,282,10,63,51,,321,33,0,111,12,79,3,0,55,0,0,0,0,0
2-Apr,2,9,1,119,33,6,27,108,317,33,2,19,12,80,48,0,179,0,0,0,0,0
3-Apr,1,3,0,24,9,89,40,63,289,41,8,196,18,57,5,40,187,1,0,0,0,0
4-Apr,0,3,20,288,9,48,45,49,303,58,5,50,15,72,6,0,270,0,0,0,0,0
5-Apr,3,1,,175,30,,49,22,425,66,0,105,12,10,2,105,107,0,0,0,0,0
6-Apr,11,1,10,249,30,,64,17,450,92,0,73,8,46,3,87,37,0,0,0,0,0
7-Apr,7,7,15,439,3,,15,16,362,57,0,63,6,43,0,438,8,0,0,0,0,0
8-Apr,2,11,18,402,12,19,29,72,316,127,2,32,6,92,0,348,43,0,0,0,0,0
9-Apr,3,3,,153,1,10,49,89,607,126,9,2,5,14,1,375,85,0,0,0,0,0
10-Apr,4,24,,534,0,48,54,50,287,40,2,23,0,69,0,408,10,1,0,0,0,0
