,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
22-Feb,,,,,,1,,,,,,,,,,,,,,,,
23-Feb,,,,,,2,,,,,,,,,,,,,,,,
24-Feb,,,,,,1,,,,,,,,,,,,,,,,
25-Feb,,,,17,,4,30,,,,,,,,,,,,,,,
26-Feb,,,,11,,0,35,,,,,,,,,,,,,,,
27-Feb,,,,11,,3,25,,,,,,,,,,,,,,,
28-Feb,,,,16,,0,18,,,,,0,,0,,,,,,0,,
29-Feb,,,,0,,,6,,,,,,,,,,,,,,,
1-Mar,,,,14,,0,31,,,,,3,,0,0,,,,2,5,0,
2-Mar,,,,7,,3,44,,,,,2,21,1,4,,,,4,1,12,
3-Mar,,,42,14,,10,12,,,,,,28,14,3,,,,2,2,13,
4-Mar,,,63,12,,2,9,,,,,1,19,6,2,0,,,4,4,14,
5-Mar,,,30,4,,2,21,,13,0,,0,20,12,1,15,,,2,4,8,
6-Mar,8,,45,9,,4,17,,51,5,,4,5,14,0,0,,,5,5,3,
7-Mar,17,,53,16,,8,7,,45,5,,4,8,14,2,0,21,10,3,9,4,2
8-Mar,5,,55,12,,10,15,18,47,2,12,20,15,5,0,0,34,5,5,6,10,1
9-Mar,6,,45,11,,7,11,27,56,2,31,22,4,6,7,0,30,8,5,11,3,0
10-Mar,16,,39,16,,7,13,16,49,0,32,29,10,18,27,25,18,13,4,4,2,1
11-Mar,18,,42,19,,8,12,21,56,,45,78,11,12,38,58,25,6,4,4,0,0
12-Mar,14,,37,27,,5,27,17,44,,0,399,9,14,17,79,34,15,3,1,3,0
13-Mar,15,,32,78,,16,19,6,63,0,0,5,4,33,25,123,42,45,4,3,2,0
14-Mar,22,,21,114,,24,53,13,49,3,23,189,2,20,23,140,23,20,20,10,25,0
15-Mar,29,,18,279,,66,19,6,58,2,68,1,3,14,46,211,24,19,1,15,25,0
16-Mar,21,,23,137,,95,63,12,61,5,37,304,2,34,34,137,16,27,4,9,60,1
17-Mar,17,,39,97,,54,37,8,59,5,43,190,2,6,39,122,24,28,5,7,55,1
18-Mar,11,,23,79,107,53,62,3,66,7,56,147,7,13,44,71,14,64,5,10,77,22
19-Mar,21,,34,45,54,40,45,14,78,16,43,139,10,35,57,61,1,82,15,8,90,8
20-Mar,23,,26,64,81,17,24,11,66,31,35,117,8,3,32,70,0,51,4,17,58,0
21-Mar,21,,2,48,60,47,50,11,39,32,27,139,29,6,33,48,0,31,13,25,74,36
22-Mar,17,,3,47,86,27,43,32,66,25,18,89,33,4,32,101,10,90,12,18,236,48
23-Mar,22,232,5,70,124,32,74,35,74,31,19,76,50,11,46,137,23,41,8,48,181,48
24-Mar,16,165,7,36,98,33,69,35,49,27,73,64,77,2,196,106,27,51,8,53,115,18
25-Mar,17,218,30,54,69,17,62,51,51,22,16,44,104,5,186,142,22,98,17,66,83,24
26-Mar,6,131,37,33,82,15,74,73,75,113,52,33,52,0,74,169,19,111,9,81,99,25
27-Mar,10,182,42,93,78,2,38,59,80,83,64,37,74,9,52,160,6,36,22,42,103,32
28-Mar,11,153,93,94,95,5,47,63,24,113,73,74,94,3,138,135,26,70,26,10,101,17
29-Mar,11,154,132,136,108,3,68,98,38,96,82,84,68,4,99,187,19,63,29,28,74,21
30-Mar,4,185,119,79,119,9,124,135,123,77,61,81,72,28,93,247,16,14,52,47,44,14
31-Mar,18,237,115,95,117,11,145,243,109,77,55,40,171,9,79,0,26,34,37,47,47,26
1-Apr,8,173,187,84,96,41,79,,113,113,52,59,172,43,77,498,69,40,99,37,59,20
2-Apr,28,151,383,83,153,199,159,117,170,65,52,42,128,38,85,256,85,59,98,35,55,9
3-Apr,30,185,241,35,105,218,30,58,187,103,73,28,73,67,64,133,108,17,165,71,29,13
4-Apr,55,151,79,44,93,234,34,71,253,73,82,64,80,95,30,142,103,26,113,56,40,19
5-Apr,74,84,,45,111,,62,82,238,100,107,44,88,88,54,140,140,7,62,120,103,21
6-Apr,142,23,53,32,152,,18,51,232,62,112,42,158,78,190,107,204,6,58,76,93,14
7-Apr,139,74,51,46,138,,32,49,211,73,119,69,290,72,238,77,202,12,45,79,105,19
8-Apr,411,144,81,79,211,156,74,79,199,42,98,91,180,198,445,78,142,25,35,83,26,27
9-Apr,392,132,,112,94,123,69,39,191,80,97,124,73,124,307,177,123,24,43,119,14,36
10-Apr,246,32,,107,175,85,187,40,292,94,154,108,182,77,99,66,165,36,6,145,7,41
11-Apr,165,52,,150,130,72,348,20,193,187,134,61,149,118,120,104,210,51,48,142,40,29
12-Apr,163,36,,225,,96,587,30,167,159,146,55,92,184,154,80,161,71,41,145,40,25
13-Apr,138,,,173,72,68,707,14,224,200,176,27,78,299,59,111,0,90,31,308,30,23
14-Apr,154,90,,,78,31,405,24,265,179,306,54,90,100,54,179,0,57,6,172,39,23
15-Apr,100,125,20,,50,54,413,5,0,200,434,43,101,45,49,158,99,55,25,164,26,12
16-Apr,184,225,,108,72,28,296,17,241,,514,34,132,29,40,84,90,92,29,137,57,23
17-Apr,110,215,,8,25,39,346,5,419,27,407,57,81,24,32,98,72,131,18,172,68,32
18-Apr,71,210,6,167,48,,313,10,311,87,593,45,151,27,27,105,38,130,6,86,91,12
19-Apr,33,258,8,46,,25,263,23,101,101,174,32,235,56,19,159,30,122,29,0,147,12
20-Apr,21,274,,301,,30,274,33,185,102,189,32,243,62,,232,23,134,12,0,158,7
21-Apr,41,148,,,,0,502,57,52,43,168,34,285,59,,190,17,47,11,10,164,26
22-Apr,25,191,,570,143,10,,193,22,15,,27,194,15,22,452,21,74,6,111,131,4
23-Apr,68,188,,220,142,46,,109,30,2,285,48,247,102,54,125,13,89,6,89,7,1
24-Apr,,103,,115,101,32,77,207,17,62,196,52,168,102,40,128,11,48,7,72,35,3
25-Apr,67,115,,89,83,20,54,274,0,55,185,45,27,156,35,91,11,44,11,51,41,6
26-Apr,57,72,12,60,113,27,,,12,39,179,53,34,,76,66,4,98,18,45,20,5
27-Apr,34,109,21,55,98,72,,250,13,54,179,36,64,25,38,162,13,0,18,49,16,0
28-Apr,38,58,23,46,66,108,33,244,12,39,188,33,23,9,2,122,5,0,30,32,23,7
29-Apr,,55,19,47,66,77,24,197,10,10,232,120,8,20,9,54,0,40,32,34,11,8
30-Apr,,54,18,25,82,86,17,163,23,21,317,63,15,15,27,84,0,25,29,11,5,7
1-May,,30,25,28,71,58,46,123,29,22,327,24,6,14,15,119,0,20,36,21,0,6
2-May,16,53,19,54,14,34,,141,41,10,263,9,,20,1,67,30,8,46,18,0,4
3-May,35,37,19,85,,36,26,265,41,17,281,,,,0,65,23,8,29,35,0,8
4-May,5,108,,46,,44,26,156,52,24,193,,,,,65,22,0,10,40,0,9
5-May,,,,87,,,35,84,0,24,125,21,,0,,47,27,0,8,34,0,7
6-May,,,,122,31,,13,50,5,36,81,28,,1,14,87,15,7,9,58,0,7
7-May,,,,86,15,,18,88,0,22,54,34,17,8,7,22,0,2,5,44,0,7
8-May,,,,50,27,,28,88,20,14,93,58,20,9,8,12,11,0,7,57,0,4
9-May,,24,,43,18,,41,60,15,6,40,3,19,5,10,51,8,0,16,62,0,4
10-May,,19,,43,24,,41,51,15,7,6,,17,7,11,60,9,0,21,46,0,0
11-May,,23,11,63,24,,30,45,31,15,16,6,1,2,11,61,9,0,18,60,0,0
12-May,,,7,98,14,,27,,40,72,26,13,11,5,7,63,15,0,15,47,0,0
13-May,,,5,79,21,,21,34,37,45,22,2,12,7,15,33,11,0,5,42,0,0
14-May,,,11,78,13,,34,19,43,49,31,2,4,1,26,56,25,0,10,23,0,0
15-May,,11,6,52,,,12,,0,47,25,7,10,1,,0,17,0,22,22,0,0
16-May,,15,9,37,,13,,,0,21,,5,,3,20,37,15,1,15,19,4,0
17-May,,8,13,38,,13,,,0,19,1,2,,2,13,59,18,6,10,17,1,0
18-May,,11,10,28,,22,,10,0,11,,,,4,,37,9,8,3,20,6,0
19-May,,6,10,37,,16,6,10,0,8,,,,3,22,35,7,7,3,12,9,0
20-May,,21,11,26,10,20,4,15,0,,,,,10,22,36,0,2,2,7,12,0
21-May,,19,6,13,17,13,9,,0,17,,,,11,11,49,0,5,1,0,12,0
22-May,,,10,7,12,16,4,,0,9,,11,,3,19,67,3,0,,0,15,1
23-May,,,12,15,4,9,7,,0,10,,2,,4,4,43,5,0,0,0,8,0
24-May,,,32,6,,2,5,6,0,7,,16,,4,9,0,3,0,0,0,13,0
25-May,,,34,8,,7,10,3,0,,1,4,,3,10,0,5,0,2,0,6,0
26-May,,,23,12,2,6,17,5,7,,7,3,2,4,4,0,1,0,2,0,0,2
27-May,,,14,3,5,6,9,8,6,,3,13,0,7,4,7,3,0,2,0,0,0
28-May,,,10,2,13,9,16,11,5,2,2,5,3,,5,1,0,0,1,0,2,0
29-May,,,12,9,12,15,9,13,6,1,9,10,2,,8,2,0,0,2,0,3,0
30-May,,,10,9,8,14,6,6,15,,2,10,1,,5,3,0,0,2,0,7,0
