Date,Trap Location,Trap Size,Crew,Trap Stop Time,Trap Start Time,Catch,Sorel_comment,Discharge,Cone RPM,Debris Amount,Debris Size,Water Temp,Water Clarity,Comments
8/28/2014,Nason,1.5 m,"KS,MWC",Stopped ,Stopped ,NA,,68.9,0,N/A,N/A,16.1,Clear,Velocity to low to drive trap
8/29/2014,Nason,1.5 m,"KS,MWC",Stopped ,Stopped ,NA,,67.8,0,N/A,N/A,15.2,Clear,Velocity to low to drive trap
8/30/2014,Nason,1.5 m,"KS,MWC",Stopped ,Stopped ,NA,,67.7,0,N/A,N/A,14.6,Clear,Velocity to low to drive trap
8/31/2014,Nason,1.5 m,"JH,BI",Stopped ,Stopped ,NA,,70.8,0,N/A,N/A,13.6,Clear,Velocity to low to drive trap
9/13/2014,Nason,1.5 m,"KS,MWC",Stopped ,Stopped ,NA,,58,N/A,N/A,N/A,9.1,Clear,Stopped not enough water to turn barrel
9/14/2014,Nason,1.5 m,"JH, BI",Stopped ,Stopped ,NA,,57.2,N/A,N/A,N/A,9.8,Clear,"Trap stopped, low water"
9/15/2014,Nason,1.5 m,"JH,BI",Stopped ,Stopped ,NA,,56.3,N/A,N/A,N/A,9.7,Clear,"Trap stopped, low water"
9/16/2014,Nason,1.5 m,"JH,BI",Stopped ,Stopped ,NA,,55.3,N/A,N/A,N/A,11,Clear,"Trap stopped, low water"
9/17/2014,Nason,1.5 m,"KS,MWC",Stopped ,Stopped ,NA,,54.6,N/A,Medium,Small,13,Clear,Intermittenly running
9/18/2014,Nason,1.5 m,"KS,MWC",Stopped ,Stopped ,NA,,53.8,0.25,Small,Small,14.1,Clear,Intermittenly running
9/19/2014,Nason,1.5 m,"KS,MWC",Stopped ,Stopped ,NA,,55.4,N/A,Small,Small,13.9,Clear,Intermittenly running
9/21/2014,Nason,1.5 m,"JH,BI",Stopped ,Stopped ,NA,,54.3,N/A,Small,Small,12.4,Clear,Stopped
10/9/2014,Nason,1.5 m,"BH,MWC",Stopped ,Stopped ,NA,,52,N/A,Small,Small,10.2,Clear,
10/24/2015,Nason,1.5 m,"KS, MC",Stopped ,Stopped ,NA,,42.2,NA,S,S,6.8,Clear,Low water
8/3/2016,Nason,1.5 m,"KS,MC",Stopped ,Stopped ,NA,,57.3,N/A,S,S,15.5,Clear,"Pulled at 9:30 for maintence, started at 1:30pm"
8/5/2016,Nason,1.5 m,"KS,BH",Stopped ,Stopped ,NA,,51.2,N/A,S,S,17.1,Clear,
8/6/2016,Nason,1.5 m,"KS,MC",Stopped ,Stopped ,NA,,48.4,N/A,S,S,15.1,Clear,
8/13/2016,Nason,1.5 m,KS,Stopped ,Stopped ,NA,,43.9,N/A,S,S,17,Clear,Branch in trap-Stopped
8/14/2016,Nason,1.5 m,"JH,BI",Stopped ,Stopped ,NA,,41.8,N/A,S,S,16.7,Clear,
10/13/2016,Nason,1.5 m,"MC,TJ,KS",Stopped ,Stopped ,NA,,63.2,N/A,N/A,N/A,6.9,Cloudy,Not enough water to turn cone
8/10/2017,Nason,1.5 m,"KS,MC",Stopped ,Stopped ,NA,,52.9,N/A,S,S,16.8,Clear,
8/11/2017,Nason,1.5 m,"MC,TJ",Stopped ,Stopped ,NA,,51.7,N/A,S,S,16.7,Clear,
8/12/2017,Nason,1.5 m,"KS,MC",Stopped ,Stopped ,NA,,50.8,N/A,S,S,18.1,Clear,
6/3/2010,White,1.5m,"NO, MC",Stopped ,Stopped ,NA,,3490,N/A,Medium,Large,4.5,Cloudy,Trap stopped. Flows spiked. Large woody debris.
6/4/2010,White,1.5m,N/A,Stopped ,Stopped ,NA,,2720,N/A,N/A,N/A,N/A,N/A,
6/5/2010,White,1.5m,N/A,Stopped ,Stopped ,NA,,2380,N/A,N/A,N/A,N/A,N/A,
6/13/2010,White,1.5m,N/A,Stopped ,Stopped ,NA,,3320,N/A,N/A,N/A,N/A,N/A,
6/14/2010,White,1.5m,N/A,Stopped ,Stopped ,NA,,3210,N/A,N/A,N/A,N/A,N/A,
10/3/2015,White,1.5 m,"BI, MC",Stopped ,Stopped ,NA,,110,N/A,N/A,N/A,N/A,N/A,Trap pulled
10/4/2015,White,1.5 m,"BI, MC",Stopped ,Stopped ,NA,,103,N/A,N/A,N/A,N/A,N/A,Trap pulled
10/5/2015,White,1.5 m,"BI, MC",Stopped ,Stopped ,NA,,99,N/A,N/A,N/A,N/A,N/A,Trap pulled
10/17/2009,White ,1.5m,"MWC,BI",Stopped ,Stopped ,NA,,965,N/A,N/A,N/A,N/A,Cloudy,Stopped: debris
10/24/2009,White ,1.5m,"MWC,BI",Stopped ,Stopped ,NA,,667,N/A,N/A,N/A,N/A,N/A,Stopped: debris
9/3/2015,Nason,1.5 m,"KS, MC",stopped,Stopped ,NA,,50.8,0.3,N/A,N/A,N/A,N/A,"Trap stopped, low water"
8/4/2016,Nason,1.5 m,"KS,MC",stopped,Stopped ,NA,,54.6,N/A,S,S,15,Clear,
8/10/2016,Nason,1.5 m,"MC,KS,JH",stopped,Stopped ,NA,,51.9,N/A,S,S,13.9,Clear,
8/11/2016,Nason,1.5 m,"KS,MC",stopped,Stopped ,NA,,48.2,N/A,S,S,15.6,Clear,
8/12/2016,Nason,1.5 m,"KS,MC",stopped,Stopped ,NA,,45.8,N/A,S,S,16.4,Clear,
3/9/2017,Nason,1.5 m,"KS,MC",stopped,Stopped ,NA,,89.2,N/A,S,S,2,Clear,
3/10/2017,Nason,1.5 m,"KS,MC",stopped,Stopped ,NA,,98.8,N/A,S,S,3.8,Clear,
9/2/2015,Nason,1.5 m,"KS,MC,BI",Pulled ,Stopped ,NA,,50.3,N/A,N/A,N/A,N/A,N/A,"Trap stopped, low water"
8/8/2016,Nason,1.5 m,"JH,BI",Pulled ,Stopped ,NA,,49.8,N/A,S,S,14.6,Clear,Patched hole
11/24/2010,Nason,1.5m,N/A,N/A,Stopped ,NA,N/A,250,N/A,N/A,N/A,N/A,N/A,
11/25/2010,Nason,1.5m,N/A,N/A,Stopped ,NA,N/A,250,N/A,N/A,N/A,N/A,N/A,
11/26/2010,Nason,1.5m,N/A,N/A,Stopped ,NA,N/A,250,N/A,N/A,N/A,N/A,N/A,
11/27/2010,Nason,1.5m,N/A,N/A,Stopped ,NA,N/A,250,N/A,N/A,N/A,N/A,N/A,
11/28/2010,Nason,1.5m,N/A,N/A,Stopped ,NA,N/A,250,N/A,N/A,N/A,N/A,N/A,
11/29/2010,Nason,1.5m,N/A,N/A,Stopped ,NA,N/A,250,N/A,N/A,N/A,N/A,N/A,
11/30/2010,Nason,1.5m,N/A,N/A,Stopped ,NA,N/A,250,N/A,N/A,N/A,N/A,N/A,
3/5/2010,White,1.5m,"NO, MC, MWC",N/A,Stopped ,NA,N/A,297,N/A,N/A,N/A,N/A,N/A,Trap installed and started
8/1/2010,White,1.5m,N/A,N/A,Stopped ,NA,N/A,988,N/A,N/A,N/A,N/A,N/A,?
8/2/2010,White,1.5m,N/A,N/A,Stopped ,NA,N/A,845,N/A,N/A,N/A,N/A,N/A,?
9/11/2014,Nason,1.5 m,"KS,MWC",Continuous,Stopped ,NA,barely moving,60.3,0.25,Small,Small,10.5,Clear,Barely enough water to run trap
9/12/2014,Nason,1.5 m,"KS,MWC",Continuous,Stopped ,1,barely moving,58.8,0.25,Small,Small,9.2,Clear,Less than .25 RPM
7/13/2015,Nason,1.5 m,"BI,BH",Continuous,Stopped ,NA,stops,51.7,1.3,S,S,16.4,Clear,"Stopped intermittently, Dug out"
10/30/2018,Nason,1.5 m,"JH,AT",Continuous,Stopped ,8,barely moving,94.4,2,S,S,5.5,Clear,Barely Moving
11/7/2010,White,1.5m,"AH, BI",Continuous,Stopped ,NA,stops,923,6,Medium,Large,5.7,Poor,Trap stopped by log
5/31/2015,White,1.5 m,"KS,BI",Continuous,Stopped ,NA,stops,1600,5,S,S,6.8,Cloudy,Stopped from Debris
5/6/2018,White,1.5/2.4 m,"MC,KS",Continuous,Stopped ,NA,5' stopped,3560,4.2/3.5,M,S,4.2,Cloudy,5' trap stopped
6/17/2011,White ,1.5 m,"MWC, EB",Continuous,Stopped ,NA,,2240,5,Medium,Small,4.8,Cloudy,Log in cone
5/18/2012,White ,1.5 m,"EB, MWC",Continuous,Stopped ,NA,stops,2540,5,Large,Small,3.9,Cloudy,Stopped from log.
10/29/2012,White ,1.5 m,JH/BI,Continuous,Stopped ,1,stops,2040,6,Medium,Medium,5,Cloudy,"water high, trap stopped unkown time, started at 3:00PM"
7/25/2013,Nason,1.5 m,"JH,KS",9:30AM,Stopped ,11,stops,113,N/A,Small,Small,15.9,Clear,Running intermittingly
3/5/2004,Nason,1.5 m,"JR,TR,AH",9:24am,Stopped ,NA,stopped,128,N/A,N/A,N/A,N/A,N/A,No rotation
6/28/2012,Nason,1.5 m,"MC,MC",9:00am,Stopped ,6,stops,987,10,Small,Small,6.5,Clear,Trap Stopped
11/11/2014,Nason,1.5 m,"JH,BI",9:00am,Stopped ,8,stops,322,6,Medium,Small,3,Clear,Stopped by Log
4/20/2016,Nason,1.5 m,"JH,KS",4:40am,Stopped ,NA,stops,1520,8,M,M,5.5,Cloudy,Stopped at 3:15am (Log in trap)
5/9/2018,Nason,1.5 m,"JH,TJ",4:30am,Stopped ,NA,stops,2570,11,L,L,4.5,Cloudy,Trap stopped 4x
5/15/2018,Nason,1.5 m,"JH,MC",4:30am,Stopped ,1,stops,2190,10,L,L,4.9,Cloudy,Multiple trap stops
5/16/2018,Nason,1.5 m,"JH,TJ",4:30am,Stopped ,NA,stops,2370,10,L,M,4.6,Cloudy,Multiple trap stops
5/14/2018,Nason,1.5 m,"JH,MC",4:25am,Stopped ,2,stops,1920,11,M,M,5.4,Cloudy,Multiple trap stops
4/21/2016,Nason,1.5 m,"JH,KS",4:20am,Stopped ,NA,stops,1840,8,M,M,5.3,Cloudy,Stopped at 11:45pm and 2:00am for log removal
5/21/2017,Nason,1.5 m,"KS,MC",4:10am,Stopped ,NA,escapes?,1400,11.25,S,S,4.8,Cloudy,"Trap submerged around 4am, fish may have escaped."
5/23/2017,Nason,1.5 m,"JH,TJ",3:45am,Stopped ,NA,stops,2360,10.5,L,M,4.7,Cloudy,Log removed at 3:30 am
9/19/2013,White ,1.5 m,"JH,KS",3:27pm,Stopped ,NA,stops,217,5.5,Small,Small,10,Cloudy,Trap running irregular
5/16/2014,Nason,1.5 m,"MWC,KS",3:15am,Stopped ,2,stops,2070,11,Small,Small,4.7,Cloudy,"Log in trap stopped, H20 up"
7/25/2011,Nason,1.5 m,"NO, EB",11:20am,Stopped ,1,partially blocked,598,9.5,Small,Small,10.2,Clear,Log in fron of cone. Blocking but still spinning. 
11/23/2010,Nason,1.5m,"AH, MC",10:30am,Stopped ,NA,?,250,N/A,N/A,N/A,-0.5,Clear,"Trap frozen, left on shore, cone pulled"
6/28/2018,Nason,1.5 m,"KS,MC",10:30am,Stopped ,2,,321,7,S,S,10,Clear,"Log in trap, cone barely turning"
5/30/2017,Nason,1.5 m,"JH,TJ",1:45am,Stopped ,NA,stopped early,2360,9,L,L,5,Cloudy,"Pulled at 1:45am, Log jam broke loose above trap, heavy, large debris coming down river."
5/24/2017,Nason,1.5 m,"JH,BI",1:15am,Stopped ,NA,stopped early,2340,11,L,L,4.8,Cloudy,"Trap pulled at 1:15, heavy debris"
5/17/2018,Nason,1.5 m,"KS,JH",1:00am,Stopped ,NA,stops,2150,8,L,L,4.8,Cloudy,Trap stopped by large log
5/5/2008,Nason,1.5m,"KE, MC",Stopped ,Pulled ,22,,654,N/A,Medium,Small,6,Cloudy,Trap pulled for hatchery release
5/17/2008,Nason,1.5m,N/A,Stopped ,Pulled ,NA,,3340,N/A,N/A,N/A,N/A,N/A,Trap pulled due to high flows
6/29/2008,Nason,1.5m,"MWC, KE",Stopped ,Pulled ,2,,1700,11,Small,Small,7,Cloudy,Trap stopped by debris
11/8/2008,Nason,1.5m,MWC,Stopped ,Pulled ,NA,,680,N/A,N/A,N/A,4,Cloudy,Trap stopped by debris
11/13/2008,Nason,1.5m,"MWC, TR",Stopped ,Pulled ,NA,,2370,N/A,N/A,N/A,N/A,N/A,
3/11/2009,Nason,1.5m,KE,Stopped ,Pulled ,4,,111,N/A,Small,Small,0,Clear,Stopped by ice
8/26/2010,Nason,1.5m,"BI, MC",Stopped ,Pulled ,1,,52.9,N/A,Small,Small,15.6,Clear,Trap stopped. Trap pulled at 9:45 AM
11/20/2011,Nason,1.5 m,"EB, BI",Stopped ,Pulled ,1,,112,N/A,Small,Small,-0.2,Clear,Pulled
3/12/2012,Nason,1.5 m,"EB, NO",Stopped ,Pulled ,NA,,211,N/A,Small,Small,-0.2,Clear,"Ice and snow build up, pulled."
4/23/2012,Nason,1.5 m,BI ,Stopped ,Pulled ,11,,1280,N/A,Small,Medium,3.8,Cloudy,Stopped by small debris. Begin night shift.
8/18/2012,Nason,1.5 m,"DA,AH",Stopped ,Pulled ,NA,,86.3,N/A,Small,Small,15,Clear,"Log stopped trap, pulled"
9/7/2013,Nason,1.5 m,"KS,JH",Stopped ,Pulled ,6,,104,6.5,Medium,Medium,14.6,Cloudy,"Dirty Water, Log stopped trap"
