To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45J070--Nason Cr. nr mouth

DATE         Discharge (cfs)   QUALITY
----------   ---------------   -------
10/01/2017              47.6         8
10/02/2017              41.2         8
10/03/2017              34.2         8
10/04/2017              30.9         8
10/05/2017              29.6         8
10/06/2017              28.6         8
10/07/2017              35.8         8
10/08/2017              58.9         2
10/09/2017              46.3         8
10/10/2017              38.2         8
10/11/2017              36.6         8
10/12/2017              37.9         8
10/13/2017              40.0         8
10/14/2017              39.3         8
10/15/2017              37.1         8
10/16/2017              38.8         8
10/17/2017              46.4         8
10/18/2017               105         2
10/19/2017               369         2
10/20/2017               229         2
10/21/2017               157         2
10/22/2017              1010         2
10/23/2017               476         2
10/24/2017               321         2
10/25/2017               287         2
10/26/2017               331         2
10/27/2017               265         2
10/28/2017               235         2
10/29/2017               215         2
10/30/2017               190         2
10/31/2017               168         2
11/01/2017               155         2
11/02/2017               151         2
11/03/2017               143         2
11/04/2017               130         2
11/05/2017               124         2
11/06/2017               117         2
11/07/2017               109         2
11/08/2017               105       140
11/09/2017               104       140
11/10/2017               102       140
11/11/2017              97.7       140
11/12/2017              94.8       140
11/13/2017               102       140
11/14/2017               114       140
11/15/2017               110       140
11/16/2017               105       140
11/17/2017               101       140
11/18/2017              95.9       140
11/19/2017              94.1       140
11/20/2017               159       140
11/21/2017               216       140
11/22/2017              1070       140
11/23/2017              2710       140
11/24/2017              1800       140
11/25/2017               909       140
11/26/2017               732       140
11/27/2017               651       140
11/28/2017               525       140
11/29/2017               453       140
11/30/2017               400       140
12/01/2017               358       140
12/02/2017               326       140
12/03/2017               298       140
12/04/2017               268       140
12/05/2017               247       140
12/06/2017               233       140
12/07/2017               220       140
12/08/2017               206       140
12/09/2017               197       140
12/10/2017               187       140
12/11/2017               178       140
12/12/2017               170       140
12/13/2017               166       140
12/14/2017               159       140
12/15/2017               155       140
12/16/2017               150       140
12/17/2017               148       140
12/18/2017               345       140
12/19/2017               291       140
12/20/2017               231       140
12/21/2017               202       140
12/22/2017               194       140
12/23/2017               178       140
12/24/2017               194       140
12/25/2017               226       140
12/26/2017               338       140
12/27/2017               363       140
12/28/2017               354       140
12/29/2017               384       140
12/30/2017               371       140
12/31/2017               306       140
01/01/2018               268       140
01/02/2018               239       140
01/03/2018               149       140
01/04/2018               148       140
01/05/2018               136       140
01/06/2018               128       140
01/07/2018               125       140
01/08/2018               122       140
01/09/2018               121       140
01/10/2018               120       140
01/11/2018               122       140
01/12/2018               125       140
01/13/2018               148       140
01/14/2018               164       140
01/15/2018               155       140
01/16/2018               169       140
01/17/2018               167       140
01/18/2018               166       140
01/19/2018               161       140
01/20/2018               155       140
01/21/2018               151       140
01/22/2018               148       140
01/23/2018               147       140
01/24/2018               147       140
01/25/2018               140       140
01/26/2018               138       140
01/27/2018               139       140
01/28/2018               139       140
01/29/2018               149       140
01/30/2018               228       140
01/31/2018               188       140
02/01/2018               175       140
02/02/2018               209       140
02/03/2018               477       140
02/04/2018               930       140
02/05/2018              1210       140
02/06/2018               846       140
02/07/2018               732       140
02/08/2018               862       140
02/09/2018               909       140
02/10/2018               706       140
02/11/2018               607       140
02/12/2018               521       140
02/13/2018               465       140
02/14/2018               431       140
02/15/2018               386       140
02/16/2018               363       140
02/17/2018               362       140
02/18/2018               330       140
02/19/2018               293       140
02/20/2018               275       140
02/21/2018               262       140
02/22/2018               256       140
02/23/2018               248       140
02/24/2018               233       140
02/25/2018               228       140
02/26/2018               217       140
02/27/2018               206       140
02/28/2018               198       140
03/01/2018               194       140
03/02/2018               185       140
03/03/2018               174       140
03/04/2018               168       140
03/05/2018               162       140
03/06/2018               157       140
03/07/2018               152       140
03/08/2018               152       140
03/09/2018               166       140
03/10/2018               153       140
03/11/2018               148       140
03/12/2018               149       140
03/13/2018               156       140
03/14/2018               180       140
03/15/2018               181       140
03/16/2018               174       140
03/17/2018               174       140
03/18/2018               177       140
03/19/2018               177       140
03/20/2018               177       140
03/21/2018                         255
03/22/2018               210       140
03/23/2018               215       140
03/24/2018               196       140
03/25/2018               183       140
03/26/2018               177       140
03/27/2018               191       140
03/28/2018               225       140
03/29/2018               218       140
03/30/2018               232       140
03/31/2018               241       140
04/01/2018               233       140
04/02/2018               223       140
04/03/2018               209       140
04/04/2018               206       140
04/05/2018               247       140
04/06/2018               273       140
04/07/2018               381       140
04/08/2018               497       140
04/09/2018               477       140
04/10/2018               479       140
04/11/2018               519       140
04/12/2018               479       140
04/13/2018               447       140
04/14/2018               521       140
04/15/2018               580       140
04/16/2018               614       140
04/17/2018               537       140
04/18/2018               477       140
04/19/2018               445       140
04/20/2018               435       140
04/21/2018               450       140
04/22/2018               426       140
04/23/2018               417       140
04/24/2018               435       140
04/25/2018               502         2
04/26/2018               646         2
04/27/2018               866         2
04/28/2018              1190         2
04/29/2018              1070         2
04/30/2018               940         2
05/01/2018               859         2
05/02/2018               852         2
05/03/2018               995         2
05/04/2018              1280         2
05/05/2018              1390         2
05/06/2018              1550         2
05/07/2018              1900        10
05/08/2018              2050        10
05/09/2018              2570        10
05/10/2018              1980        10
05/11/2018              1520         2
05/12/2018              1390         2
05/13/2018              1620         2
05/14/2018              1920        10
05/15/2018              2190        10
05/16/2018              2370        10
05/17/2018              2150        10
05/18/2018              1750         2
05/19/2018              1590         2
05/20/2018              1610         2
05/21/2018              1550         2
05/22/2018              1520         2
05/23/2018              1710        10
05/24/2018              1820        10
05/25/2018              1580         2
05/26/2018              1340         2
05/27/2018              1130         2
05/28/2018              1140         2
05/29/2018              1030         2
05/30/2018               844         2
05/31/2018               759         2
06/01/2018               675         2
06/02/2018               637         2
06/03/2018               694         2
06/04/2018               709         2
06/05/2018               635         2
06/06/2018               602         2
06/07/2018               644         2
06/08/2018               655         2
06/09/2018               632         2
06/10/2018               591         2
06/11/2018               502         2
06/12/2018               448         2
06/13/2018               444         2
06/14/2018               487         2
06/15/2018               452         2
06/16/2018               458         2
06/17/2018               487         2
06/18/2018               543         2
06/19/2018               588         2
06/20/2018               600         2
06/21/2018               586         2
06/22/2018               548         2
06/23/2018               476         2
06/24/2018               437         2
06/25/2018               491         2
06/26/2018               447         2
06/27/2018               367         2
06/28/2018               321         2
06/29/2018               289         2
06/30/2018               275         2
07/01/2018               290         2
07/02/2018               283         2
07/03/2018               254         2
07/04/2018               238         2
07/05/2018               232         2
07/06/2018               236         2
07/07/2018               229         2
07/08/2018               207         2
07/09/2018               190         2
07/10/2018               184         2
07/11/2018               169         2
07/12/2018               158         2
07/13/2018               150         2
07/14/2018               140         2
07/15/2018               132         2
07/16/2018               123         2
07/17/2018               114         2
07/18/2018               108         2
07/19/2018               103         2
07/20/2018              97.6         2
07/21/2018              92.0         2
07/22/2018              87.4         2
07/23/2018              83.2         2
07/24/2018              78.2         2
07/25/2018              73.8         2
07/26/2018              70.8         2
07/27/2018              67.8         2
07/28/2018              65.6         2
07/29/2018              64.4         2
07/30/2018              60.4         2
07/31/2018              57.7         2
08/01/2018              55.3         2
08/02/2018              53.1         2
08/03/2018              51.2         2
08/04/2018              54.8         2
08/05/2018              58.7         2
08/06/2018              56.2         2
08/07/2018              52.9         2
08/08/2018              51.2         2
08/09/2018              49.6         2
08/10/2018              47.2         2
08/11/2018              45.8         2
08/12/2018              47.2         2
08/13/2018              47.7         2
08/14/2018              46.3         2
08/15/2018              44.5         2
08/16/2018              42.1         8
08/17/2018              40.7         8
08/18/2018              40.1         8
08/19/2018              40.1         8
08/20/2018              40.7         8
08/21/2018              39.0         8
08/22/2018              37.9         8
08/23/2018              36.1         8
08/24/2018              35.5         8
08/25/2018              37.4         8
08/26/2018              38.6         8
08/27/2018              40.7         8
08/28/2018              37.0         8
08/29/2018              37.1         8
08/30/2018              35.4         8
08/31/2018              35.0         8
09/01/2018              33.2         8
09/02/2018              31.2         8
09/03/2018              30.3         8
09/04/2018              29.8         8
09/05/2018              29.6         8
09/06/2018              28.9         8
09/07/2018              28.2         8
09/08/2018              28.7         8
09/09/2018              29.6         8
09/10/2018              29.2         8
09/11/2018              31.1         8
09/12/2018              32.8         8
09/13/2018              31.7         8
09/14/2018              31.0         8
09/15/2018              30.7         8
09/16/2018              31.7         8
09/17/2018              37.9         8
09/18/2018              35.7         8
09/19/2018              31.8         8
09/20/2018              29.9         8
09/21/2018              29.7         8
09/22/2018              31.8         8
09/23/2018              45.9         8
09/24/2018              40.1         8
09/25/2018              34.3         8
09/26/2018              32.1         8
09/27/2018              30.4         8
09/28/2018              29.3         8
09/29/2018              28.9         8
09/30/2018              27.9         8
10/01/2018              29.4         8

Quality Codes Key:
2 - Good quality provisional data
8 - Below rating
10 - Above rating, but within 2x
140 - Data not yet checked
255 - Incomplete day
