To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45J070--Nason Cr. nr mouth

DATE         Discharge (cfs)   QUALITY
----------   ---------------   -------
10/01/2018              29.4         8
10/02/2018              35.4         8
10/03/2018              46.7         2
10/04/2018              38.9         8
10/05/2018              36.8         8
10/06/2018              37.5         8
10/07/2018              37.6         8
10/08/2018              36.2         8
10/09/2018              42.8         8
10/10/2018                         255
10/11/2018              41.2       140
10/12/2018              37.8       140
10/13/2018              35.6       140
10/14/2018              34.0       140
10/15/2018              33.4       140
10/16/2018              33.3       140
10/17/2018              32.8       140
10/18/2018              32.2       140
10/19/2018              32.0       140
10/20/2018              31.3       140
10/21/2018              31.0       140
10/22/2018              31.0       140
10/23/2018              31.0       140
10/24/2018              30.6       140
10/25/2018              32.1       140
10/26/2018              89.0       140
10/27/2018              92.5       140
10/28/2018               148       140
10/29/2018               138       140
10/30/2018              94.4       140
10/31/2018              96.6       140
11/01/2018               263       140
11/02/2018               719       140
11/03/2018               475       140
11/04/2018               720       140
11/05/2018               575       140
11/06/2018               493       140
11/07/2018               347       140
11/08/2018               263       140
11/09/2018               225       140
11/10/2018               200       140
11/11/2018               176       140
11/12/2018               161       140
11/13/2018               149       140
11/14/2018               147       140
11/15/2018               175       140
11/16/2018               172       140
11/17/2018               164       140
11/18/2018               146       140
11/19/2018               137       140
11/20/2018               129       140
11/21/2018               125       140
11/22/2018               124       140
11/23/2018               128       140
11/24/2018               122       140
11/25/2018               114       140
11/26/2018               116       140
11/27/2018               208       140
11/28/2018               332       140
11/29/2018               253       140
11/30/2018               214       140
12/01/2018               196       140
12/02/2018               180       140
12/03/2018               167       140
12/04/2018               155       140
12/05/2018               148       140
12/06/2018               139       140
12/07/2018               136       140
12/08/2018               130       140
12/09/2018               127       140
12/10/2018               125       140
12/11/2018               122       140
12/12/2018               138       140
12/13/2018               149       140
12/14/2018               155       140
12/15/2018               138       140
12/16/2018               131       140
12/17/2018               125       140
12/18/2018               133       140
12/19/2018               157       140
12/20/2018               151       140
12/21/2018               156       140
12/22/2018               138       140
12/23/2018               133       140
12/24/2018               125       140
12/25/2018               119       140
12/26/2018               118       140
12/27/2018               114       140
12/28/2018               135       140
12/29/2018               163       140
12/30/2018               362       140
12/31/2018               228       140
01/01/2019               201       140
01/02/2019               181       140
01/03/2019               290       140
01/04/2019               527       140
01/05/2019               392       140
01/06/2019               333       140
01/07/2019               293       140
01/08/2019               267       140
01/09/2019               254       140
01/10/2019               238       140
01/11/2019               226       140
01/12/2019               215       140
01/13/2019               204       140
01/14/2019               193       140
01/15/2019               183       140
01/16/2019               179       140
01/17/2019               176       140
01/18/2019               172       140
01/19/2019               174       140
01/20/2019               168       140
01/21/2019               158       140
01/22/2019               154       140
01/23/2019               191       140
01/24/2019               215       140
01/25/2019               188       140
01/26/2019               179       140
01/27/2019               183       140
01/28/2019               192       140
01/29/2019               186       140
01/30/2019               184       140
01/31/2019               179       140
02/01/2019               177       140
02/02/2019               186       140
02/03/2019               179       140
02/04/2019               172       140
02/05/2019               162       140
02/06/2019               158       140
02/07/2019               152       140
02/08/2019               162       140
02/09/2019               201       140
02/10/2019               178       140
02/11/2019               202       140
02/12/2019               236       140
02/13/2019               248       140
02/14/2019               292       140
02/15/2019               228       140
02/16/2019               158       140
02/17/2019               131       140
02/18/2019               128       140
02/19/2019               142       140
02/20/2019               120       140
02/21/2019               112       140
02/22/2019               111       140
02/23/2019               123       140
02/24/2019               107       140
02/25/2019               103       140
02/26/2019               100       140
02/27/2019              99.5       140
02/28/2019               103       140
03/01/2019              94.2       140
03/02/2019              92.7       140
03/03/2019              90.7       140
03/04/2019              88.6       140
03/05/2019               114       140
03/06/2019              98.2       140
03/07/2019              88.4       140
03/08/2019              84.9       140
03/09/2019              82.5       140
03/10/2019              81.2       140
03/11/2019              81.8       140
03/12/2019              81.8       140
03/13/2019              79.9       140
03/14/2019              78.3       140
03/15/2019              78.0       140
03/16/2019              80.4       140
03/17/2019              80.8       140
03/18/2019              87.5       140
03/19/2019              97.5       140
03/20/2019               112       140
03/21/2019               137       140
03/22/2019               159       140
03/23/2019               195       140
03/24/2019               222       140
03/25/2019               231       140
03/26/2019               256       140
03/27/2019               252       140
03/28/2019               238       140
03/29/2019               237       140
03/30/2019               248       140
03/31/2019               268       140

Quality Codes Key:
2 - Good quality provisional data
8 - Below rating
140 - Data not yet checked
255 - Incomplete day
