45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2002   00:00          125         2
10/02/2002   00:00          112         2
10/03/2002   00:00          108         2
10/04/2002   00:00          165         2
10/05/2002   00:00          129         2
10/06/2002   00:00          123         2
10/07/2002   00:00          123         2
10/08/2002   00:00          124         2
10/09/2002   00:00          119         2
10/10/2002   00:00          115         2
10/11/2002   00:00          109         2
10/12/2002   00:00         99.0         2
10/13/2002   00:00         94.8         2
10/14/2002   00:00         90.7         2
10/15/2002   00:00         87.3         2
10/16/2002   00:00         86.4         2
10/17/2002   00:00         86.6         2
10/18/2002   00:00         86.0         2
10/19/2002   00:00         83.9         2
10/20/2002   00:00         83.4         2
10/21/2002   00:00         82.6         2
10/22/2002   00:00         81.1         8
10/23/2002   00:00         79.8         8
10/24/2002   00:00         78.3         8
10/25/2002   00:00         77.0         8
10/26/2002   00:00         75.9         8
10/27/2002   00:00         75.1         8
10/28/2002   00:00         75.3         8
10/29/2002   00:00         74.6         8
10/30/2002   00:00         73.1         8
10/31/2002   00:00         68.7         8
11/01/2002   00:00         66.2         8
11/02/2002   00:00         65.5         8
11/03/2002   00:00         66.4         8
11/04/2002   00:00         65.7         8
11/05/2002   00:00         67.9         8
11/06/2002   00:00         71.5         8
11/07/2002   00:00         80.8         8
11/08/2002   00:00         77.8         8
11/09/2002   00:00         77.8         8
11/10/2002   00:00         77.3         8
11/11/2002   00:00         75.6         8
11/12/2002   00:00         85.4         8
11/13/2002   00:00          170         2
11/14/2002   00:00          142         2
11/15/2002   00:00          120         2
11/16/2002   00:00          101         2
11/17/2002   00:00          146         2
11/18/2002   00:00          134         2
11/19/2002   00:00          177         2
11/20/2002   00:00          430         2
11/21/2002   00:00          339         2
11/22/2002   00:00          268         2
11/23/2002   00:00          236         2
11/24/2002   00:00          204         2
11/25/2002   00:00          181         2
11/26/2002   00:00          169         2
11/27/2002   00:00          160         2
11/28/2002   00:00          155         2
11/29/2002   00:00          157         2
11/30/2002   00:00          155         2
12/01/2002   00:00          151         2
12/02/2002   00:00          145         2
12/03/2002   00:00          138         2
12/04/2002   00:00          132         2
12/05/2002   00:00          128         2
12/06/2002   00:00          123         2
12/07/2002   00:00          117         2
12/08/2002   00:00          111         2
12/09/2002   00:00          106         2
12/10/2002   00:00          105         2
12/11/2002   00:00          105         2
12/12/2002   00:00          106         2
12/13/2002   00:00          119         2
12/14/2002   00:00          123         2
12/15/2002   00:00          157         2
12/16/2002   00:00          182         2
12/17/2002   00:00          170         2
12/18/2002   00:00          157         2
12/19/2002   00:00          147         2
12/20/2002   00:00          141         2
12/21/2002   00:00          135         2
12/22/2002   00:00          130         2
12/23/2002   00:00          126         2
