To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2010   00:00          355         1
10/02/2010   00:00          338         1
10/03/2010   00:00          310         1
10/04/2010   00:00          290         1
10/05/2010   00:00          269         1
10/06/2010   00:00          255         1
10/07/2010   00:00          245         1
10/08/2010   00:00          245         1
10/09/2010   00:00          315         1
10/10/2010   00:00         1980         1
10/11/2010   00:00          776         1
10/12/2010   00:00          562         1
10/13/2010   00:00          475         1
10/14/2010   00:00          418         1
10/15/2010   00:00          387         1
10/16/2010   00:00          352         1
10/17/2010   00:00          325         1
10/18/2010   00:00          306         1
10/19/2010   00:00          292         1
10/20/2010   00:00          280         1
10/21/2010   00:00          269         1
10/22/2010   00:00          263         1
10/23/2010   00:00          253         1
10/24/2010   00:00          325         1
10/25/2010   00:00          356         1
10/26/2010   00:00          334         1
10/27/2010   00:00          308         1
10/28/2010   00:00          307         1
10/29/2010   00:00          308         1
10/30/2010   00:00          306         1
10/31/2010   00:00          325         1
11/01/2010   00:00          743         1
11/02/2010   00:00         1080         1
11/03/2010   00:00          753         1
11/04/2010   00:00          666         1
11/05/2010   00:00          649         1
11/06/2010   00:00          735         1
11/07/2010   00:00          923         1
11/08/2010   00:00          707         1
11/09/2010   00:00          620         1
11/10/2010   00:00          565         1
11/11/2010   00:00          518         1
11/12/2010   00:00          491         1
11/13/2010   00:00          460         1
11/14/2010   00:00          570         1
11/15/2010   00:00          640         1
11/16/2010   00:00          990         1
11/17/2010   00:00          733         1
11/18/2010   00:00          661         1
11/19/2010   00:00          606         1
11/20/2010   00:00          566         1
11/21/2010   00:00          527         1
11/22/2010   00:00      No Data       250
11/23/2010   00:00      No Data       250
11/24/2010   00:00      No Data       250
11/25/2010   00:00      No Data       250
11/26/2010   00:00      No Data       250
11/27/2010   00:00      No Data       250
11/28/2010   00:00          370        50
11/29/2010   00:00          343        77
