To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         Discharge (cfs)   QUALITY
----------   ---------------   -------
10/01/2014               268         2
10/02/2014               220         2
10/03/2014               199         2
10/04/2014               196         2
10/05/2014               216         2
10/06/2014               228         2
10/07/2014               246         2
10/08/2014               225         2
10/09/2014               200         2
10/10/2014               186         2
10/11/2014               243         2
10/12/2014               292         2
10/13/2014               225         2
10/14/2014               320         2
10/15/2014               312         2
10/16/2014               366         2
10/17/2014               300         2
10/18/2014               759         2
10/19/2014               509         2
10/20/2014               505         2
10/21/2014               534         2
10/22/2014               839         2
10/23/2014              1250         2
10/24/2014               830         2
10/25/2014               796         2
10/26/2014              1520         2
10/27/2014               926         2
10/28/2014               831         2
10/29/2014              1380         2
10/30/2014              1430         2
10/31/2014              2340         2
11/01/2014              1550         2
11/02/2014              1130         2
11/03/2014              1070         2
11/04/2014              2070         2
11/05/2014              1610         2
11/06/2014              2730         2
11/07/2014              2110         2
11/08/2014              1530         2
11/09/2014              1340         2
11/10/2014              1090         2
11/11/2014               863         2
11/12/2014               706         2
11/13/2014               635         2
11/14/2014               572         2
11/15/2014               517         2
11/16/2014               474         2
11/17/2014               439         2
11/18/2014               414         2
11/19/2014               392         2
11/20/2014               372         2
11/21/2014               371         2
11/22/2014               370         2
11/23/2014               368         2
11/24/2014               348         2
11/25/2014               748         2
11/26/2014              1740         2
11/27/2014              3010         2
11/28/2014              5500        10
11/29/2014              3450         2
11/30/2014              2060         2
12/01/2014              1570         2
12/02/2014              1260         2
12/03/2014              1050         2
12/04/2014               920         2
12/05/2014               814         2
12/06/2014               738         2
12/07/2014               683         2
12/08/2014               626         2
12/09/2014              1020         2
12/10/2014              1250         2
12/11/2014              1310         2
12/12/2014              1130         2
12/13/2014               983         2
12/14/2014               880         2
12/15/2014               799         2
12/16/2014               732         2
12/17/2014               682         2
12/18/2014               637         2
12/19/2014               606         2
12/20/2014               586         2
12/21/2014               682         2
12/22/2014               625         2
12/23/2014               604         2
12/24/2014               691         2
12/25/2014               599         2
12/26/2014               562         2
12/27/2014               550         2
12/28/2014               526         2
12/29/2014               494         2
12/30/2014                         250
12/31/2014                         250
01/01/2015                         250
01/02/2015               417        50
01/03/2015               405        50
01/04/2015               395        50
01/05/2015              1090         2
01/06/2015              1170         2
01/07/2015               906         2
01/08/2015               831         2
01/09/2015               769         2
01/10/2015               717         2
01/11/2015               668         2
01/12/2015               619         2
01/13/2015               581         2
01/14/2015               544         2
01/15/2015               515         2
01/16/2015               506         2
01/17/2015               478         2
01/18/2015               517         2
01/19/2015               509         2
01/20/2015               459         2
01/21/2015               429         2
01/22/2015               419         2
01/23/2015               455         2
01/24/2015              1350         2
01/25/2015              1420         2
01/26/2015              1150         2
01/27/2015              1080         2
01/28/2015               996         2
01/29/2015               912         2
01/30/2015               840         2
01/31/2015               780         2
02/01/2015               727         2
02/02/2015               695         2
02/03/2015               682         2
02/04/2015               630         2
02/05/2015               663         2
02/06/2015              1710         2
02/07/2015              1890         2
02/08/2015              1840         2
02/09/2015              1640         2
02/10/2015              1510         2
02/11/2015              1400         2
02/12/2015              1260         2
02/13/2015              1290         2
02/14/2015              1290         2
02/15/2015              1200         2
02/16/2015              1090         2
02/17/2015               991         2
02/18/2015               915         2
02/19/2015               852         2
02/20/2015               796         2
02/21/2015               741         2
02/22/2015               692         2
02/23/2015               647         2
02/24/2015               618         2
02/25/2015               591         2
02/26/2015               566         2
02/27/2015               560         2
02/28/2015               523         2
03/01/2015               502         2
03/02/2015               480         2
03/03/2015               451         2
03/04/2015               435         2
03/05/2015               424         2
03/06/2015               415         2
03/07/2015               415         2
03/08/2015               424         2
03/09/2015               438         2
03/10/2015               458         2
03/11/2015               481         2
03/12/2015               569         2
03/13/2015               593         2
03/14/2015              1100         2
03/15/2015              1360         2
03/16/2015              1190         2
03/17/2015              1030         2
03/18/2015               937         2
03/19/2015               877         2
03/20/2015               845         2
03/21/2015               953         2
03/22/2015               888         2
03/23/2015               820         2
03/24/2015               759         2
03/25/2015               738         2
03/26/2015               838         2
03/27/2015               908         2
03/28/2015              1180         2
03/29/2015              1040         2
03/30/2015              1000         2
03/31/2015              1070         2
04/01/2015               955         2
04/02/2015               859         2
04/03/2015               789         2
04/04/2015               726         2
04/05/2015               678         2
04/06/2015               630         2
04/07/2015               595         2
04/08/2015               560         2
04/09/2015               539         2
04/10/2015               521         2
04/11/2015               541         2
04/12/2015               511         2
04/13/2015               487         2
04/14/2015               465         2
04/15/2015               442         2
04/16/2015               441         2
04/17/2015               501         2
04/18/2015               571         2
04/19/2015               609         2
04/20/2015               720         2
04/21/2015               881         2
04/22/2015               951         2
04/23/2015               809         2
04/24/2015               729         2
04/25/2015               654         2
04/26/2015               600         2
04/27/2015               592         2
04/28/2015               703         2
04/29/2015               783         2
04/30/2015               722         2
05/01/2015               745         2
05/02/2015               834         2
05/03/2015               840         2
05/04/2015               914         2
05/05/2015               984         2
05/06/2015               809         2
05/07/2015               724         2
05/08/2015               744         2
05/09/2015               827         2
05/10/2015               974         2
05/11/2015              1200         2
05/12/2015              1370         2
05/13/2015              1170         2
05/14/2015              1170         2
05/15/2015              1160         2
05/16/2015              1350         2
05/17/2015              1440         2
05/18/2015              1520         2
05/19/2015              1720         2
05/20/2015              1900         2
05/21/2015              1920         2
05/22/2015              1900         2
05/23/2015              2050         2
05/24/2015              2020         2
05/25/2015              1740         2
05/26/2015              1420         2
05/27/2015              1390         2
05/28/2015              1640         2
05/29/2015              1950         2
05/30/2015              1920         2
05/31/2015              1600         2
06/01/2015              1440         2
06/02/2015              1450         2
06/03/2015              1220         2
06/04/2015              1150         2
06/05/2015              1220         2
06/06/2015              1440         2
06/07/2015              1620         2
06/08/2015              1690         2
06/09/2015              1500         2
06/10/2015              1290         2
06/11/2015              1180         2
06/12/2015              1040         2
06/13/2015               770         2
06/14/2015               689         2
06/15/2015               674         2
06/16/2015               723         2
06/17/2015               752         2
06/18/2015               708         2
06/19/2015               664         2
06/20/2015               591         2
06/21/2015               546         2
06/22/2015               512         2
06/23/2015               536         2
06/24/2015               546         2
06/25/2015               592         2
06/26/2015               682         2
06/27/2015               732         2
06/28/2015               799         2
06/29/2015               920         2
06/30/2015               809         2
07/01/2015               693         2
07/02/2015               606         2
07/03/2015               582         2
07/04/2015               554         2
07/05/2015               522         2
07/06/2015               472         2
07/07/2015               450         2
07/08/2015               445         2
07/09/2015               438         2
07/10/2015               433         2
07/11/2015               421         2
07/12/2015               355         2
07/13/2015               321         2
07/14/2015               295         2
07/15/2015               283         2
07/16/2015               285         2
07/17/2015               271         2
07/18/2015               269         2
07/19/2015               298         2
07/20/2015               323         2
07/21/2015               303         2
07/22/2015               263         2
07/23/2015               243         2
07/24/2015               239         2
07/25/2015               265         2
07/26/2015               238         2
07/27/2015               216         2
07/28/2015               205         2
07/29/2015               213         2
07/30/2015               222         2
07/31/2015               232         2
08/01/2015               237         2
08/02/2015               235         2
08/03/2015               236         2
08/04/2015               228         2
08/05/2015               218         2
08/06/2015               209         2
08/07/2015               202         2
08/08/2015               210         2
08/09/2015               212         2
08/10/2015               216         2
08/11/2015               225         2
08/12/2015               230         2
08/13/2015               245         2
08/14/2015               243         2
08/15/2015               226         2
08/16/2015               197         2
08/17/2015               192         2
08/18/2015               197         2
08/19/2015               216         2
08/20/2015               224         2
08/21/2015               212         2
08/22/2015               171         2
08/23/2015               159         2
08/24/2015               157         2
08/25/2015               153         2
08/26/2015               155         2
08/27/2015               171         2
08/28/2015               180         2
08/29/2015               214         2
08/30/2015               414         2
08/31/2015               333         2
09/01/2015               362         2
09/02/2015               377         2
09/03/2015               260         2
09/04/2015               196         2
09/05/2015               157         2
09/06/2015               145         2
09/07/2015               146         2
09/08/2015               133         2
09/09/2015               148         2
09/10/2015               145         2
09/11/2015               168         2
09/12/2015               182         2
09/13/2015               186         2
09/14/2015               154         2
09/15/2015               125         2
09/16/2015               108         2
09/17/2015               104         2
09/18/2015               128         2
09/19/2015               120         2
09/20/2015               201         2
09/21/2015               288         2
09/22/2015               176         2
09/23/2015               142         2
09/24/2015               132         2
09/25/2015               165         2
09/26/2015               187         2
09/27/2015               132         2
09/28/2015               116         2
09/29/2015               109         2
09/30/2015               107         2
10/01/2015               110         2

Quality Codes Key:
2 - Good quality provisional data
10 - Above rating, but within 2x
50 - Estimated data
250 - Ice impacted data (will not be reported)
