To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         Discharge (cfs)   QUALITY
----------   ---------------   -------
10/01/2018               151         2
10/02/2018               370         2
10/03/2018               220         2
10/04/2018               174         2
10/05/2018               145         2
10/06/2018               132         2
10/07/2018               122         2
10/08/2018               117         2
10/09/2018               164         2
10/10/2018                         255
10/11/2018               128       140
10/12/2018               118       140
10/13/2018               111       140
10/14/2018               105       140
10/15/2018               102       140
10/16/2018              99.5       140
10/17/2018              97.5       140
10/18/2018              94.6       140
10/19/2018              91.6       140
10/20/2018              89.6       140
10/21/2018              88.0       140
10/22/2018              86.6       140
10/23/2018              85.7       140
10/24/2018              84.6       140
10/25/2018              88.3       140
10/26/2018               490       140
10/27/2018               275       140
10/28/2018               341       140
10/29/2018               285       140
10/30/2018               236       140
10/31/2018               340       140
11/01/2018              1170       140
11/02/2018              1900       140
11/03/2018               930       140
11/04/2018              1010       140
11/05/2018               776       140
11/06/2018               643       140
11/07/2018               528       140
11/08/2018               445       140
11/09/2018               405       140
11/10/2018               364       140
11/11/2018               326       140
11/12/2018               302       140
11/13/2018               283       140
11/14/2018               304       140
11/15/2018               331       140
11/16/2018               327       140
11/17/2018               297       140
11/18/2018               269       140
11/19/2018               259       140
11/20/2018               244       140
11/21/2018               239       140
11/22/2018               238       140
11/23/2018               243       140
11/24/2018               229       140
11/25/2018               218       140
11/26/2018               252       140
11/27/2018               365       140
11/28/2018               375       140
11/29/2018               330       140
11/30/2018               308       140
12/01/2018               295       140
12/02/2018               280       140
12/03/2018               264       140
12/04/2018               251       140
12/05/2018               241       140
12/06/2018               223       140
12/07/2018               223       140
12/08/2018               220       140
12/09/2018               215       140
12/10/2018               213       140
12/11/2018               206       140
12/12/2018               220       140
12/13/2018               244       140
12/14/2018               235       140
12/15/2018               214       140
12/16/2018               211       140
12/17/2018               207       140
12/18/2018               218       140
12/19/2018               233       140
12/20/2018               232       140
12/21/2018               230       140
12/22/2018               221       140
12/23/2018               220       140
12/24/2018               209       140
12/25/2018               196       140
12/26/2018                         255
12/27/2018               193       140
12/28/2018               187       140
12/29/2018               241       140
12/30/2018               321       140
12/31/2018               263       140
01/01/2019               253       140
01/02/2019               246       140
01/03/2019                         255
01/04/2019               635       140
01/05/2019               522       140
01/06/2019               477       140
01/07/2019               438       140
01/08/2019               406       140
01/09/2019               389       140
01/10/2019               373       140
01/11/2019               350       140
01/12/2019               332       140
01/13/2019               316       140
01/14/2019               302       140
01/15/2019               291       140
01/16/2019               283       140
01/17/2019               280       140
01/18/2019               273       140
01/19/2019               275       140
01/20/2019               263       140
01/21/2019               251       140
01/22/2019               247       140
01/23/2019               266       140
01/24/2019               272       140
01/25/2019               255       140
01/26/2019               250       140
01/27/2019               265       140
01/28/2019               282       140
01/29/2019               278       140
01/30/2019               279       140
01/31/2019               278       140
02/01/2019               280       140
02/02/2019               286       140
02/03/2019               277       140
02/04/2019               272       140
02/05/2019               262       140
02/06/2019               246       140
02/07/2019               252       140
02/08/2019               252       140
02/09/2019               243       140
02/10/2019               254       140
02/11/2019               257       140
02/12/2019               267       140
02/13/2019               284       140
02/14/2019               272       140
02/15/2019               235       140
02/16/2019               211       140
02/17/2019               203       140
02/18/2019               195       140
02/19/2019               191       140
02/20/2019               187       140
02/21/2019               181       140
02/22/2019               179       140
02/23/2019               175       140
02/24/2019               171       140
02/25/2019               165       140
02/26/2019               162       140
02/27/2019               157       140
02/28/2019               156       140
03/01/2019               150       140
03/02/2019               150       140
03/03/2019               146       140
03/04/2019               136       140
03/05/2019               144       140
03/06/2019               144       140
03/07/2019               139       140
03/08/2019               135       140
03/09/2019               132       140
03/10/2019               131       140
03/11/2019               131       140
03/12/2019               132       140
03/13/2019               128       140
03/14/2019               127       140
03/15/2019               127       140
03/16/2019               132       140
03/17/2019               137       140
03/18/2019               161       140
03/19/2019               191       140
03/20/2019               226       140
03/21/2019               284       140
03/22/2019               349       140
03/23/2019               398       140
03/24/2019               445       140
03/25/2019               453       140
03/26/2019               480       140
03/27/2019               477       140
03/28/2019               459       140
03/29/2019               451       140
03/30/2019               460       140
03/31/2019               495       140

Quality Codes Key:
2 - Good quality provisional data
140 - Data not yet checked
255 - Incomplete day
