"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.1",1,1,1,1,Inf,NA,NA,NA,NA,NA
"result.2",2,1,1,1,Inf,NA,NA,NA,NA,NA
"result.3",3,1,1,1,Inf,NA,NA,NA,NA,NA
"result.4",4,1,1,1,508.486797584051,345,44,301,NA,NA
"result.5",1,2,1,1,Inf,NA,NA,NA,NA,NA
"result.6",2,2,1,1,Inf,NA,NA,NA,NA,NA
"result.7",3,2,1,1,Inf,NA,NA,NA,NA,NA
"result.8",4,2,1,1,Inf,NA,NA,NA,NA,NA
"result.9",1,3,1,1,Inf,NA,NA,NA,NA,NA
"result.10",2,3,1,1,Inf,NA,NA,NA,NA,NA
"result.11",3,3,1,1,Inf,NA,NA,NA,NA,NA
"result.12",4,3,1,1,503.062820513367,340,42,298,NA,NA
"result.13",1,4,1,1,508.290215708617,345,44,301,NA,NA
"result.14",2,4,1,1,Inf,NA,NA,NA,NA,NA
"result.15",3,4,1,1,502.99806142538,NA,NA,NA,NA,NA
"result.16",4,4,1,1,504.470636956418,335,40,295,NA,NA
"result.17",1,1,2,1,Inf,NA,NA,NA,NA,NA
"result.18",2,1,2,1,Inf,NA,NA,NA,NA,NA
"result.19",3,1,2,1,496.563163666572,NA,NA,NA,NA,NA
"result.20",4,1,2,1,506.245231783041,NA,NA,NA,NA,NA
"result.21",1,2,2,1,Inf,NA,NA,NA,NA,NA
"result.22",2,2,2,1,Inf,NA,NA,NA,NA,NA
"result.23",3,2,2,1,Inf,NA,NA,NA,NA,NA
"result.24",4,2,2,1,Inf,NA,NA,NA,NA,NA
"result.25",1,3,2,1,Inf,NA,NA,NA,NA,NA
"result.26",2,3,2,1,Inf,NA,NA,NA,NA,NA
"result.27",3,3,2,1,493.121993793314,NA,NA,NA,NA,NA
"result.28",4,3,2,1,500.775077370988,335,40,295,NA,NA
"result.29",1,4,2,1,501.982373258718,340,42,298,NA,NA
"result.30",2,4,2,1,504.24057989859,335,40,295,NA,NA
"result.31",3,4,2,1,497.263299985984,335,40,295,NA,NA
"result.32",4,4,2,1,497.969589177354,330,38,292,NA,NA
"result.33",1,1,3,1,Inf,NA,NA,NA,NA,NA
"result.34",2,1,3,1,Inf,NA,NA,NA,NA,NA
"result.35",3,1,3,1,Inf,NA,NA,NA,NA,NA
"result.36",4,1,3,1,510.764183596718,NA,NA,NA,NA,NA
"result.37",1,2,3,1,Inf,NA,NA,NA,NA,NA
"result.38",2,2,3,1,Inf,NA,NA,NA,NA,NA
"result.39",3,2,3,1,Inf,NA,NA,NA,NA,NA
"result.40",4,2,3,1,Inf,NA,NA,NA,NA,NA
"result.41",1,3,3,1,Inf,NA,NA,NA,NA,NA
"result.42",2,3,3,1,Inf,NA,NA,NA,NA,NA
"result.43",3,3,3,1,497.639793520598,340,42,298,NA,NA
"result.44",4,3,3,1,503.79828723242,335,40,295,NA,NA
"result.45",1,4,3,1,506.991201886148,340,42,298,NA,NA
"result.46",2,4,3,1,Inf,NA,NA,NA,NA,NA
"result.47",3,4,3,1,501.460188729687,335,40,295,NA,NA
"result.48",4,4,3,1,498.58186890457,330,38,292,NA,NA
"result.49",1,1,4,1,Inf,NA,NA,NA,NA,NA
"result.50",2,1,4,1,Inf,NA,NA,NA,NA,NA
"result.51",3,1,4,1,504.356013337938,NA,NA,NA,NA,NA
"result.52",4,1,4,1,Inf,NA,NA,NA,NA,NA
"result.53",1,2,4,1,Inf,NA,NA,NA,NA,NA
"result.54",2,2,4,1,517.286719291854,335,40,295,NA,NA
"result.55",3,2,4,1,510.364100158161,NA,NA,NA,NA,NA
"result.56",4,2,4,1,Inf,NA,NA,NA,NA,NA
"result.57",1,3,4,1,Inf,NA,NA,NA,NA,NA
"result.58",2,3,4,1,514.882443981284,335,40,295,NA,NA
"result.59",3,3,4,1,498.720167471869,335,40,295,NA,NA
"result.60",4,3,4,1,508.611454919704,330,38,292,NA,NA
"result.61",1,4,4,1,508.115450784901,335,40,295,NA,NA
"result.62",2,4,4,1,511.015731198965,330,38,292,NA,NA
"result.63",3,4,4,1,504.09311171913,330,38,292,NA,NA
"result.64",4,4,4,1,504.744741974804,325,36,289,NA,NA
"result.65",1,1,1,2,515.047200790935,NA,NA,NA,NA,NA
"result.66",2,1,1,2,519.567135377372,NA,NA,NA,NA,NA
"result.67",3,1,1,2,506.971764309514,345,44,301,NA,NA
"result.68",4,1,1,2,510.27960386107,340,42,298,NA,NA
"result.69",1,2,1,2,515.009227374847,NA,NA,NA,NA,NA
"result.70",2,2,1,2,514.765748075787,340,42,298,NA,NA
"result.71",3,2,1,2,507.156018278341,NA,NA,NA,NA,NA
"result.72",4,2,1,2,508.494759645618,335,40,295,NA,NA
"result.73",1,3,1,2,507.538521890067,345,44,301,NA,NA
"result.74",2,3,1,2,512.611942811518,NA,NA,NA,NA,NA
"result.75",3,3,1,2,501.544970071418,340,42,298,NA,NA
"result.76",4,3,1,2,507.392395967825,335,40,295,NA,NA
"result.77",1,4,1,2,506.230703341303,340,42,298,NA,NA
"result.78",2,4,1,2,508.49475964207,335,40,295,NA,NA
"result.79",3,4,1,2,500.885029844089,335,40,295,NA,NA
"result.80",4,4,1,2,502.223771210706,330,38,292,NA,NA
"result.81",1,1,2,2,Inf,NA,NA,NA,NA,NA
"result.82",2,1,2,2,Inf,NA,NA,NA,NA,NA
"result.83",3,1,2,2,501.036462253509,340,42,298,NA,NA
"result.84",4,1,2,2,507.039373988705,335,40,295,NA,NA
"result.85",1,2,2,2,Inf,NA,NA,NA,NA,NA
"result.86",2,2,2,2,Inf,NA,NA,NA,NA,NA
"result.87",3,2,2,2,501.440519211032,335,40,295,NA,NA
"result.88",4,2,2,2,Inf,NA,NA,NA,NA,NA
"result.89",1,3,2,2,506.096015571357,340,42,298,NA,NA
"result.90",2,3,2,2,Inf,NA,NA,NA,NA,NA
"result.91",3,3,2,2,497.898295815346,335,40,295,NA,NA
"result.92",4,3,2,2,Inf,NA,NA,NA,NA,NA
"result.93",1,4,2,2,500.586893987653,335,40,295,NA,NA
"result.94",2,4,2,2,502.742955059456,330,38,292,NA,NA
"result.95",3,4,2,2,495.169530779145,330,38,292,NA,NA
"result.96",4,4,2,2,493.73761596475,325,36,289,NA,NA
