brood_year	week	mark	recap
1999	9	7	2
1999	28	24	3
1999	28	44	5
1999	29	44	5
1999	29	50	9
1999	30	42	12
1999	30	42	16
1999	31	35	8
1999	31	51	10
1999	32	23	3
1999	32	36	4
2000	29	54	2
2000	29	48	2
2000	31	22	1
2000	32	40	5
2000	32	41	1
2001	19	81	4
2001	23	25	2
2001	24	65	29
2001	25	95	15
2001	26	100	16
2001	27	200	33
2001	28	100	27
2001	28	116	33
2001	29	100	22
2001	29	99	27
2001	30	50	10
2001	30	62	10
2001	31	50	12
2001	31	34	12
2001	32	50	9
2001	32	50	19
2001	33	50	13
2002	23	64	14
2002	25	85	20
2002	26	NA	NA
2002	27	100	6
2002	28	100	7
2002	29	100	9
2002	30	100	21
2002	30	100	35
2002	31	50	11
2002	31	50	14
2002	32	55	5
2002	32	50	16
2002	33	50	10
2002	33	50	24
2002	34	18	2
2002	34	37	10
2003	9	32	8
2003	25	NA	NA
2003	25	NA	NA
2003	27	36	7
2003	27	50	7
2003	28	50	17
2003	28	50	17
2003	29	100	17
2003	29	100	12
2003	30	86	23
2003	30	100	14
2003	31	100	19
2003	31	67	19
2003	32	100	22
2003	32	100	18
2003	33	87	33
2003	33	100	22
2003	34	30	15
2003	34	29	11
2004	25	20	3
2004	26	65	10
2004	27	31	3
2004	28	200	28
2004	28	99	23
2004	29	199	37
2004	29	179	42
2004	30	100	20
2004	30	100	18
2004	31	79	16
2004	31	82	16
2004	32	120	27
2004	32	100	16
2004	33	12	0
2004	33	14	1
2005	10	38	11
2005	24	83	9
2005	25	103	24
2005	26	100	32
2005	26	100	8
2005	27	NA	NA
2005	28	209	20
2005	28	101	17
2005	29	75	12
2005	29	132	36
2005	30	41	5
2005	30	40	11
2005	31	29	2
2005	31	44	10
2005	32	37	5
2005	32	30	1
2005	33	10	0
2005	33	3	0
2005	34	1	0
2006	2	6	0
2006	3	9	2
2006	4	20	4
2006	5	9	0
2006	6	38	1
2006	25	122	7
2006	26	124	14
2006	27	37	1
2006	28	58	5
2006	29	250	54
2006	29	76	9
2006	30	150	31
2006	31	95	7
2006	32	28	4
2006	34	23	2
2006	36	1	0
2006	38	1	0
2007	4	4	0
2007	7	44	7
2007	8	65	16
2007	9	19	6
2007	10	3	0
2007	12	20	4
2007	13	98	20
2007	14	38	0
2007	16	62	14
2007	17	56	9
2007	23	29	7
2007	24	12	0
2007	27	7	2
2007	29	85	6
2007	30	116	22
2007	31	121	20
2007	32	28	8
2007	33	16	2
2007	34	16	7
2008	7	13	1
2008	11	39	5
2008	12	24	2
2008	15	38	1
2008	24	25	0
2008	25	22	4
2008	26	61	8
2008	27	94	21
2008	28	38	8
2008	29	263	40
2008	30	216	50
2008	31	239	55
2008	32	121	33
2008	33	101	24
2008	34	42	8
2008	35	10	3
2009	3	14	0
2009	6	58	3
2009	7	43	4
2009	9	96	10
2009	10	13	0
2009	11	45	4
2009	12	52	0
2009	15	53	2
2009	17	48	9
2009	18	99	22
2009	19	15	0
2009	23	104	16
2009	24	4	1
2009	25	62	6
2009	26	133	22
2009	27	1	0
2009	28	132	27
2009	29	582	76
2009	30	543	102
2009	31	327	57
2009	32	401	61
2009	33	38	0
2009	33	77	12
2009	34	79	9
2009	35	21	3
2009	36	23	0
2009	37	6	2
2010	6	4	0
2010	7	7	0
2010	8	14	2
2010	9	18	0
2010	10	28	4
2010	11	33	4
2010	12	32	3
2010	13	29	1
2010	13	41	9
2010	14	6	0
2010	15	3	1
2010	16	11	3
2010	17	7	3
2010	18	11	3
2010	19	8	3
2010	20	6	2
2010	21	13	0
2010	22	32	5
2010	23	29	6
2010	25	2	0
2010	27	79	1
2010	28	259	32
2010	29	166	7
2010	30	280	25
2010	31	498	77
2010	32	300	31
2010	33	125	14
2010	34	61	6
2010	35	49	5
2010	36	24	0
2010	37	7	1
2010	38	9	2
2010	39	3	0
2010	40	1	0
2011	5	3	0
2011	6	8	0
2011	7	13	0
2011	8	19	1
2011	10	109	30
2011	11	59	10
2011	12	22	5
2011	13	37	11
2011	14	37	12
2011	15	31	1
2011	16	16	5
2011	17	10	2
2011	18	6	0
2011	19	4	1
2011	20	6	1
2011	22	30	8
2011	23	19	3
2011	24	62	10
2011	25	79	17
2011	26	104	27
2011	27	213	75
2011	28	372	96
2011	29	372	95
2011	30	361	73
2011	31	253	37
2011	32	212	50
2011	33	53	6
2011	34	25	0
2011	35	17	0
2011	36	13	1
2011	37	5	0
2011	38	3	0
2012	3	5	0
2012	4	NA	NA
2012	5	8	1
2012	6	NA	NA
2012	8	9	0
2012	10	13	0
2012	11	23	0
2012	12	9	0
2012	13	8	2
2012	14	13	1
2012	15	5	1
2012	16	2	0
2012	17	2	0
2012	18	6	2
2012	21	19	2
2012	22	31	7
2012	24	12	4
2012	25	45	7
2012	26	37	0
2012	27	93	8
2012	28	77	3
2012	29	24	2
2012	30	40	1
2012	31	33	0
2012	32	26	5
2012	33	18	0
2012	34	3	0
2012	35	2	0
2012	36	1	0
2013	7	2	0
2013	9	2	0
2013	10	3	0
2013	14	3	0
2013	15	1	0
2013	16	2	0
2013	20	2	0
2013	21	6	2
2013	22	11	2
2013	23	7	0
2013	24	5	1
2013	25	22	2
