"agency_cd","site_no","date","flow","Flow_cd"
"USGS","13344500",2001-01-01,100,"A"
"USGS","13344500",2001-01-02,98,"A"
"USGS","13344500",2001-01-03,96,"A"
"USGS","13344500",2001-01-04,97,"A"
"USGS","13344500",2001-01-05,100,"A"
"USGS","13344500",2001-01-06,101,"A"
"USGS","13344500",2001-01-07,100,"A"
"USGS","13344500",2001-01-08,98,"A"
"USGS","13344500",2001-01-09,99,"A"
"USGS","13344500",2001-01-10,99,"A"
"USGS","13344500",2001-01-11,98,"A"
"USGS","13344500",2001-01-12,101,"A"
"USGS","13344500",2001-01-13,103,"A"
"USGS","13344500",2001-01-14,112,"A"
"USGS","13344500",2001-01-15,105,"A"
"USGS","13344500",2001-01-16,100,"A"
"USGS","13344500",2001-01-17,96,"A"
"USGS","13344500",2001-01-18,97,"A"
"USGS","13344500",2001-01-19,101,"A"
"USGS","13344500",2001-01-20,100,"A"
"USGS","13344500",2001-01-21,99,"A"
"USGS","13344500",2001-01-22,102,"A"
"USGS","13344500",2001-01-23,101,"A"
"USGS","13344500",2001-01-24,102,"A"
"USGS","13344500",2001-01-25,108,"A"
"USGS","13344500",2001-01-26,107,"A"
"USGS","13344500",2001-01-27,106,"A"
"USGS","13344500",2001-01-28,104,"A"
"USGS","13344500",2001-01-29,105,"A"
"USGS","13344500",2001-01-30,107,"A"
"USGS","13344500",2001-01-31,104,"A"
"USGS","13344500",2001-02-01,104,"A"
"USGS","13344500",2001-02-02,106,"A"
"USGS","13344500",2001-02-03,113,"A"
"USGS","13344500",2001-02-04,118,"A"
"USGS","13344500",2001-02-05,203,"A"
"USGS","13344500",2001-02-06,218,"A"
"USGS","13344500",2001-02-07,183,"A"
"USGS","13344500",2001-02-08,162,"A"
"USGS","13344500",2001-02-09,156,"A"
"USGS","13344500",2001-02-10,151,"A"
"USGS","13344500",2001-02-11,142,"A"
"USGS","13344500",2001-02-12,134,"A"
"USGS","13344500",2001-02-13,128,"A"
"USGS","13344500",2001-02-14,123,"A"
"USGS","13344500",2001-02-15,120,"A"
"USGS","13344500",2001-02-16,117,"A"
"USGS","13344500",2001-02-17,111,"A"
"USGS","13344500",2001-02-18,111,"A"
"USGS","13344500",2001-02-19,114,"A"
"USGS","13344500",2001-02-20,111,"A"
"USGS","13344500",2001-02-21,108,"A"
"USGS","13344500",2001-02-22,110,"A"
"USGS","13344500",2001-02-23,110,"A"
"USGS","13344500",2001-02-24,110,"A"
"USGS","13344500",2001-02-25,109,"A"
"USGS","13344500",2001-02-26,109,"A"
"USGS","13344500",2001-02-27,106,"A"
"USGS","13344500",2001-02-28,104,"A"
"USGS","13344500",2001-03-01,105,"A"
"USGS","13344500",2001-03-02,110,"A"
"USGS","13344500",2001-03-03,108,"A"
"USGS","13344500",2001-03-04,104,"A"
"USGS","13344500",2001-03-05,102,"A"
"USGS","13344500",2001-03-06,103,"A"
